drug_name;generic_name;category;sub_category;typical_posology
Promethazine oral;Promethazine oral;Divers;Générique/Spécialité;Dose as per indication
Omalizumab;Omalizumab;Divers;Générique/Spécialité;Dose as per indication
Dupilumab;Dupilumab;Divers;Générique/Spécialité;Dose as per indication
Mepolizumab;Mepolizumab;Divers;Générique/Spécialité;Dose as per indication
Benralizumab;Benralizumab;Divers;Générique/Spécialité;Dose as per indication
Reslizumab;Reslizumab;Divers;Générique/Spécialité;Dose as per indication
Tocilizumab;Tocilizumab;Divers;Générique/Spécialité;Dose as per indication
Adalimumab;Adalimumab;Divers;Générique/Spécialité;Dose as per indication
Infliximab;Infliximab;Divers;Générique/Spécialité;Dose as per indication
Etanercept;Etanercept;Divers;Générique/Spécialité;Dose as per indication
Certolizumab;Certolizumab;Divers;Générique/Spécialité;Dose as per indication
Golimumab;Golimumab;Divers;Générique/Spécialité;Dose as per indication
Ustekinumab;Ustekinumab;Divers;Générique/Spécialité;Dose as per indication
Secukinumab;Secukinumab;Divers;Générique/Spécialité;Dose as per indication
Ixekizumab;Ixekizumab;Divers;Générique/Spécialité;Dose as per indication
Abatacept;Abatacept;Divers;Générique/Spécialité;Dose as per indication
Belimumab;Belimumab;Divers;Générique/Spécialité;Dose as per indication
Rituximab;Rituximab;Divers;Générique/Spécialité;Dose as per indication
Bendamustine;Bendamustine;Divers;Générique/Spécialité;Dose as per indication
Cisplatin;Cisplatin;Divers;Générique/Spécialité;Dose as per indication
Carboplatin;Carboplatin;Divers;Générique/Spécialité;Dose as per indication
Oxaliplatin;Oxaliplatin;Divers;Générique/Spécialité;Dose as per indication
Doxorubicin;Doxorubicin;Divers;Générique/Spécialité;Dose as per indication
Epirubicin;Epirubicin;Divers;Générique/Spécialité;Dose as per indication
Cyclophosphamide;Cyclophosphamide;Divers;Générique/Spécialité;Dose as per indication
Ifosfamide;Ifosfamide;Divers;Générique/Spécialité;Dose as per indication
Vincristine;Vincristine;Divers;Générique/Spécialité;Dose as per indication
Vinblastine;Vinblastine;Divers;Générique/Spécialité;Dose as per indication
Paclitaxel;Paclitaxel;Divers;Générique/Spécialité;Dose as per indication
Docetaxel;Docetaxel;Divers;Générique/Spécialité;Dose as per indication
Gemcitabine;Gemcitabine;Divers;Générique/Spécialité;Dose as per indication
Capecitabine;Capecitabine;Divers;Générique/Spécialité;Dose as per indication
5-Fluorouracil;5-Fluorouracil;Divers;Générique/Spécialité;Dose as per indication
Irinotecan;Irinotecan;Divers;Générique/Spécialité;Dose as per indication
Topotecan;Topotecan;Divers;Générique/Spécialité;Dose as per indication
Trastuzumab;Trastuzumab;Divers;Générique/Spécialité;Dose as per indication
Pertuzumab;Pertuzumab;Divers;Générique/Spécialité;Dose as per indication
Bevacizumab;Bevacizumab;Divers;Générique/Spécialité;Dose as per indication
Cetuximab;Cetuximab;Divers;Générique/Spécialité;Dose as per indication
Panitumumab;Panitumumab;Divers;Générique/Spécialité;Dose as per indication
Imatinib;Imatinib;Divers;Générique/Spécialité;Dose as per indication
Dasatinib;Dasatinib;Divers;Générique/Spécialité;Dose as per indication
Nilotinib;Nilotinib;Divers;Générique/Spécialité;Dose as per indication
Erlotinib;Erlotinib;Divers;Générique/Spécialité;Dose as per indication
Gefitinib;Gefitinib;Divers;Générique/Spécialité;Dose as per indication
Sunitinib;Sunitinib;Divers;Générique/Spécialité;Dose as per indication
Sorafenib;Sorafenib;Divers;Générique/Spécialité;Dose as per indication
Pazopanib;Pazopanib;Divers;Générique/Spécialité;Dose as per indication
Regorafenib;Regorafenib;Divers;Générique/Spécialité;Dose as per indication
Lenvatinib;Lenvatinib;Divers;Générique/Spécialité;Dose as per indication
Ruxolitinib;Ruxolitinib;Divers;Générique/Spécialité;Dose as per indication
Tofacitinib;Tofacitinib;Divers;Générique/Spécialité;Dose as per indication
